Namespace(eeg_dataset='/content/data/eeg_55_95_std.pth', splits_path='/content/drive/MyDrive/EEG_files/data/block_splits_LOSO_subject1.pth', split_num=0, subject=0, time_low=20, time_high=460, model_type='transformer2', model_params=['num_heads=4', 'num_layers=1', 'd_ff=512', 'd_model=128', 'dropout=0.4'], pretrained_net='', batch_size=128, optim='Adam', learning_rate=0.0001, learning_rate_decay_by=0.95, learning_rate_decay_every=10, data_workers=4, epochs=200, saveCheck=200, no_cuda=False, pretrained_itsa='/content/drive/MyDrive/EEG_files/itsa_loso_subject1_recolor.pth', itsa_off=False, loso_mode=True)
Copied to CUDA
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 25: TrL=2.3801, TrA=0.2956, VL=2.3895, VA=0.2667, TeL=3.9072, TeA=0.0193, TeA at max VA = 0.0193 at epoch 25
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 26: TrL=2.3673, TrA=0.3011, VL=2.3775, VA=0.2835, TeL=3.9015, TeA=0.0229, TeA at max VA = 0.0229 at epoch 26
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 27: TrL=2.3495, TrA=0.3090, VL=2.3631, VA=0.2935, TeL=3.9231, TeA=0.0260, TeA at max VA = 0.0260 at epoch 27
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 28: TrL=2.3327, TrA=0.3080, VL=2.3539, VA=0.2902, TeL=3.9147, TeA=0.0260, TeA at max VA = 0.0260 at epoch 27
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 29: TrL=2.3123, TrA=0.3160, VL=2.3341, VA=0.2768, TeL=3.9194, TeA=0.0297, TeA at max VA = 0.0260 at epoch 27
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 30: TrL=2.2992, TrA=0.3291, VL=2.3208, VA=0.3025, TeL=3.9323, TeA=0.0292, TeA at max VA = 0.0292 at epoch 30
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 31: TrL=2.2870, TrA=0.3340, VL=2.3106, VA=0.2969, TeL=3.9643, TeA=0.0286, TeA at max VA = 0.0292 at epoch 30
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 32: TrL=2.2757, TrA=0.3438, VL=2.3005, VA=0.3036, TeL=3.9325, TeA=0.0302, TeA at max VA = 0.0302 at epoch 32
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 33: TrL=2.2582, TrA=0.3376, VL=2.3090, VA=0.2946, TeL=3.9551, TeA=0.0307, TeA at max VA = 0.0302 at epoch 32
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 34: TrL=2.2489, TrA=0.3454, VL=2.2872, VA=0.2980, TeL=3.9773, TeA=0.0281, TeA at max VA = 0.0302 at epoch 32
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 35: TrL=2.2399, TrA=0.3600, VL=2.2737, VA=0.3036, TeL=3.9834, TeA=0.0266, TeA at max VA = 0.0266 at epoch 35
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 36: TrL=2.2284, TrA=0.3503, VL=2.2663, VA=0.3069, TeL=3.9921, TeA=0.0307, TeA at max VA = 0.0307 at epoch 36
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 37: TrL=2.2181, TrA=0.3512, VL=2.2500, VA=0.3136, TeL=3.9946, TeA=0.0307, TeA at max VA = 0.0307 at epoch 37
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 38: TrL=2.2034, TrA=0.3640, VL=2.2478, VA=0.3013, TeL=4.0040, TeA=0.0240, TeA at max VA = 0.0307 at epoch 37
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 39: TrL=2.1926, TrA=0.3719, VL=2.2329, VA=0.3225, TeL=4.0065, TeA=0.0271, TeA at max VA = 0.0271 at epoch 39
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 40: TrL=2.1932, TrA=0.3633, VL=2.2371, VA=0.3192, TeL=4.0135, TeA=0.0328, TeA at max VA = 0.0271 at epoch 39
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 41: TrL=2.1747, TrA=0.3660, VL=2.2163, VA=0.3259, TeL=4.0026, TeA=0.0292, TeA at max VA = 0.0292 at epoch 41
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 42: TrL=2.1573, TrA=0.3915, VL=2.2306, VA=0.3237, TeL=4.0162, TeA=0.0276, TeA at max VA = 0.0292 at epoch 41
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 43: TrL=2.1542, TrA=0.3829, VL=2.2236, VA=0.3225, TeL=4.0289, TeA=0.0286, TeA at max VA = 0.0292 at epoch 41
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 44: TrL=2.1437, TrA=0.3860, VL=2.2136, VA=0.3192, TeL=4.0317, TeA=0.0250, TeA at max VA = 0.0292 at epoch 41
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 45: TrL=2.1381, TrA=0.3879, VL=2.1961, VA=0.3259, TeL=4.0253, TeA=0.0339, TeA at max VA = 0.0339 at epoch 45
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 46: TrL=2.1304, TrA=0.3844, VL=2.1926, VA=0.3348, TeL=4.0559, TeA=0.0266, TeA at max VA = 0.0266 at epoch 46
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 47: TrL=2.1187, TrA=0.3974, VL=2.1935, VA=0.3415, TeL=4.0432, TeA=0.0286, TeA at max VA = 0.0286 at epoch 47
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 48: TrL=2.1136, TrA=0.3943, VL=2.1887, VA=0.3259, TeL=4.0691, TeA=0.0297, TeA at max VA = 0.0286 at epoch 47
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 49: TrL=2.1018, TrA=0.4080, VL=2.1753, VA=0.3382, TeL=4.0482, TeA=0.0302, TeA at max VA = 0.0286 at epoch 47
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 50: TrL=2.0986, TrA=0.3973, VL=2.1778, VA=0.3426, TeL=4.0697, TeA=0.0318, TeA at max VA = 0.0318 at epoch 50
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 51: TrL=2.0868, TrA=0.4011, VL=2.1786, VA=0.3393, TeL=4.0806, TeA=0.0292, TeA at max VA = 0.0318 at epoch 50
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 52: TrL=2.0860, TrA=0.4080, VL=2.1625, VA=0.3627, TeL=4.0501, TeA=0.0281, TeA at max VA = 0.0281 at epoch 52
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 53: TrL=2.0793, TrA=0.4152, VL=2.1508, VA=0.3627, TeL=4.0729, TeA=0.0318, TeA at max VA = 0.0318 at epoch 53
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 54: TrL=2.0686, TrA=0.4199, VL=2.1558, VA=0.3538, TeL=4.0724, TeA=0.0328, TeA at max VA = 0.0318 at epoch 53
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 55: TrL=2.0650, TrA=0.4243, VL=2.1384, VA=0.3616, TeL=4.0617, TeA=0.0297, TeA at max VA = 0.0318 at epoch 53
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 56: TrL=2.0587, TrA=0.4239, VL=2.1313, VA=0.3650, TeL=4.0664, TeA=0.0312, TeA at max VA = 0.0312 at epoch 56
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 57: TrL=2.0458, TrA=0.4262, VL=2.1353, VA=0.3493, TeL=4.0755, TeA=0.0312, TeA at max VA = 0.0312 at epoch 56
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 58: TrL=2.0436, TrA=0.4288, VL=2.1111, VA=0.3772, TeL=4.0748, TeA=0.0318, TeA at max VA = 0.0318 at epoch 58
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 59: TrL=2.0393, TrA=0.4294, VL=2.1162, VA=0.3638, TeL=4.0763, TeA=0.0328, TeA at max VA = 0.0318 at epoch 58
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 60: TrL=2.0261, TrA=0.4298, VL=2.1198, VA=0.3705, TeL=4.0887, TeA=0.0354, TeA at max VA = 0.0318 at epoch 58
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 61: TrL=2.0234, TrA=0.4458, VL=2.1051, VA=0.3549, TeL=4.0898, TeA=0.0318, TeA at max VA = 0.0318 at epoch 58
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 62: TrL=2.0180, TrA=0.4376, VL=2.1081, VA=0.3705, TeL=4.1253, TeA=0.0292, TeA at max VA = 0.0318 at epoch 58
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 63: TrL=2.0185, TrA=0.4367, VL=2.1208, VA=0.3605, TeL=4.0952, TeA=0.0328, TeA at max VA = 0.0318 at epoch 58
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 64: TrL=2.0130, TrA=0.4413, VL=2.1031, VA=0.3828, TeL=4.1132, TeA=0.0297, TeA at max VA = 0.0297 at epoch 64
Model: transformer2 - Subject 0 - Time interval: [20-460]  [20-460 Hz] - Epoch 65: TrL=2.0070, TrA=0.4497, VL=2.0999, VA=0.3850, TeL=4.1071, TeA=0.0354, TeA at max VA = 0.0354 at epoch 65
